nowtime,vendor,product_category,avg_price,min_price,max_price
2024-03-03,TandT,Bread,NA,2.98,6.69
2024-03-03,TandT,Eggs,NA,10.14,9.99
2024-03-03,TandT,Milk,NA,3.49,7.99
2024-03-03,Voila,Bread,NA,2.29,6.99
2024-03-03,Voila,Eggs,NA,1.79,9.49
2024-03-04,Metro,Bread,NA,10.29,9.29
2024-03-04,Metro,Eggs,NA,10.19,9.89
2024-03-04,Voila,Bread,NA,2.29,6.99
2024-03-04,Voila,Eggs,NA,1.79,9.49
2024-03-04,Walmart,Bread,NA,1.97,5.47
2024-03-04,Walmart,Eggs,NA,4.57,9.07
2024-03-05,Galleria,Bread,NA,2.99,8.85
2024-03-05,Galleria,Eggs,NA,0.99,9.99
2024-03-05,Galleria,Milk,NA,4.95,5.49
2024-03-05,Loblaws,Bread,NA,2.002.00,2.002.00
2024-03-05,Loblaws,Eggs,NA,1.30,1.30
2024-03-05,Metro,Bread,NA,10.29,9.29
2024-03-05,Metro,Eggs,NA,10.19,9.89
2024-03-05,NoFrills,Bread,NA,0.20,1.30
2024-03-05,NoFrills,Eggs,NA,1.70,1.70
2024-03-05,TandT,Bread,NA,2.98,6.69
2024-03-05,TandT,Eggs,NA,10.14,9.99
2024-03-05,TandT,Milk,NA,3.49,7.99
2024-03-05,Voila,Bread,NA,2.29,6.99
2024-03-05,Voila,Eggs,NA,1.79,9.49
2024-03-05,Walmart,Bread,NA,1.97,5.47
2024-03-05,Walmart,Eggs,NA,3.87,9.07
2024-03-06,Galleria,Bread,NA,2.99,8.85
2024-03-06,Galleria,Eggs,NA,0.99,9.99
2024-03-06,Galleria,Milk,NA,4.95,5.49
2024-03-06,Loblaws,Bread,NA,2.002.00,2.002.00
2024-03-06,Loblaws,Eggs,NA,1.30,1.30
2024-03-06,Metro,Bread,NA,10.29,9.29
2024-03-06,Metro,Eggs,NA,10.19,9.89
2024-03-06,NoFrills,Bread,NA,0.20,1.72
2024-03-06,NoFrills,Eggs,NA,1.70,1.70
2024-03-06,TandT,Bread,NA,2.98,6.69
2024-03-06,TandT,Eggs,NA,10.14,9.99
2024-03-06,TandT,Milk,NA,3.49,7.99
2024-03-06,Voila,Bread,NA,2.29,6.99
2024-03-06,Voila,Eggs,NA,1.79,9.49
2024-03-06,Walmart,Bread,NA,1.97,5.47
2024-03-06,Walmart,Eggs,NA,3.87,9.07
2024-03-07,Galleria,Bread,NA,2.99,8.85
2024-03-07,Galleria,Eggs,NA,0.99,9.99
2024-03-07,Galleria,Milk,NA,4.95,5.49
2024-03-07,Loblaws,Eggs,NA,1.30,1.30
2024-03-07,Metro,Bread,NA,10.29,9.29
2024-03-07,Metro,Eggs,NA,10.19,9.69
2024-03-07,NoFrills,Bread,NA,0.30,0.80
2024-03-07,TandT,Bread,NA,2.98,6.69
2024-03-07,TandT,Eggs,NA,10.14,9.99
2024-03-07,TandT,Milk,NA,3.49,7.99
2024-03-07,Voila,Bread,NA,2.69,6.99
2024-03-07,Voila,Eggs,NA,1.79,9.49
2024-03-07,Walmart,Bread,NA,1.97,5.47
2024-03-07,Walmart,Eggs,NA,2.64,9.07
2024-03-08,Galleria,Bread,NA,2.99,8.85
2024-03-08,Galleria,Eggs,NA,0.99,9.99
2024-03-08,Galleria,Milk,NA,4.95,5.49
2024-03-08,Loblaws,Eggs,NA,1.30,1.30
2024-03-08,Metro,Bread,NA,10.29,9.29
2024-03-08,Metro,Eggs,NA,10.19,9.69
2024-03-08,NoFrills,Bread,NA,0.30,1.72
2024-03-08,NoFrills,Eggs,NA,1.70,1.70
2024-03-08,TandT,Bread,NA,2.88,6.69
2024-03-08,TandT,Eggs,NA,10.14,9.99
2024-03-08,TandT,Milk,NA,3.49,7.99
2024-03-08,Voila,Bread,NA,2.69,6.99
2024-03-08,Voila,Eggs,NA,1.79,9.49
2024-03-08,Walmart,Bread,NA,1.97,5.47
2024-03-08,Walmart,Eggs,NA,2.64,9.07
2024-03-09,Galleria,Bread,NA,2.99,8.85
2024-03-09,Galleria,Eggs,NA,0.99,9.99
2024-03-09,Galleria,Milk,NA,4.95,5.49
2024-03-09,Loblaws,Eggs,NA,1.30,1.30
2024-03-09,Metro,Bread,NA,10.29,9.99
2024-03-09,Metro,Eggs,NA,10.19,8.29
2024-03-09,NoFrills,Bread,NA,0.30,1.72
2024-03-09,NoFrills,Eggs,NA,1.70,1.70
2024-03-09,Voila,Bread,NA,2.69,6.99
2024-03-09,Voila,Eggs,NA,1.79,9.49
2024-03-09,Walmart,Bread,NA,14.40,4.97
2024-03-09,Walmart,Eggs,NA,2.64,9.07
2024-03-10,Galleria,Bread,NA,2.99,8.85
2024-03-10,Galleria,Eggs,NA,0.99,9.99
2024-03-10,Galleria,Milk,NA,4.95,5.49
2024-03-10,Loblaws,Eggs,NA,1.30,1.30
2024-03-10,Metro,Bread,NA,10.29,9.29
2024-03-10,Metro,Eggs,NA,10.19,9.69
2024-03-10,NoFrills,Bread,NA,0.30,1.72
2024-03-10,NoFrills,Eggs,NA,1.70,1.70
2024-03-10,TandT,Bread,NA,2.88,6.69
2024-03-10,TandT,Eggs,NA,10.14,9.99
2024-03-10,TandT,Milk,NA,3.49,7.99
2024-03-10,Voila,Bread,NA,2.69,6.99
2024-03-10,Voila,Eggs,NA,1.79,9.49
2024-03-10,Walmart,Bread,NA,1.97,5.47
2024-03-10,Walmart,Eggs,NA,4.57,9.07
2024-03-11,Galleria,Bread,NA,2.99,8.85
2024-03-11,Galleria,Eggs,NA,0.99,9.99
2024-03-11,Galleria,Milk,NA,4.95,5.49
2024-03-11,Loblaws,Eggs,NA,1.30,1.30
2024-03-11,Metro,Bread,NA,10.29,9.99
2024-03-11,Metro,Eggs,NA,10.19,8.29
2024-03-11,TandT,Bread,NA,2.88,6.69
2024-03-11,TandT,Eggs,NA,10.14,9.99
2024-03-11,TandT,Milk,NA,3.49,7.99
2024-03-11,Voila,Bread,NA,2.69,6.99
2024-03-11,Voila,Eggs,NA,1.79,9.49
2024-03-11,Walmart,Bread,NA,1.97,5.47
2024-03-11,Walmart,Eggs,NA,4.57,9.07
2024-03-12,Galleria,Bread,NA,2.99,8.85
2024-03-12,Galleria,Eggs,NA,0.99,9.99
2024-03-12,Galleria,Milk,NA,4.95,5.49
2024-03-12,Loblaws,Eggs,NA,1.30,1.30
2024-03-12,Metro,Bread,NA,10.29,9.99
2024-03-12,Metro,Eggs,NA,10.19,8.29
2024-03-12,Voila,Bread,NA,2.69,6.99
2024-03-12,Voila,Eggs,NA,1.79,9.49
2024-03-12,Walmart,Bread,NA,1.97,5.47
2024-03-12,Walmart,Eggs,NA,4.57,9.07
2024-03-13,Metro,Bread,NA,10.29,9.99
2024-03-13,Metro,Eggs,NA,10.19,8.29
2024-03-13,Voila,Bread,NA,2.69,6.99
2024-03-13,Voila,Eggs,NA,1.79,9.49
2024-03-13,Walmart,Bread,NA,1.97,5.47
2024-03-13,Walmart,Eggs,NA,2.64,9.07
2024-03-14,Metro,Bread,NA,10.29,9.99
2024-03-14,Metro,Eggs,NA,10.19,9.49
2024-03-14,TandT,Bread,NA,2.88,6.49
2024-03-14,TandT,Eggs,NA,10.33,9.99
2024-03-14,TandT,Milk,NA,3.49,7.99
2024-03-14,Voila,Bread,NA,2.69,6.99
2024-03-14,Voila,Eggs,NA,1.79,9.49
2024-03-14,Walmart,Bread,NA,1.97,5.47
2024-03-14,Walmart,Eggs,NA,3.87,9.07
2024-03-15,Metro,Bread,NA,10.29,9.99
2024-03-15,Metro,Eggs,NA,10.19,9.49
2024-03-15,Voila,Bread,NA,2.69,6.99
2024-03-15,Voila,Eggs,NA,1.79,9.49
2024-03-15,Walmart,Bread,NA,1.97,5.47
2024-03-15,Walmart,Eggs,NA,3.87,9.07
2024-03-16,Metro,Bread,NA,10.29,9.99
2024-03-16,Metro,Eggs,NA,10.19,9.49
2024-03-16,Voila,Bread,NA,2.69,6.99
2024-03-16,Voila,Eggs,NA,1.79,9.49
2024-03-16,Walmart,Bread,NA,1.97,5.47
2024-03-16,Walmart,Eggs,NA,3.87,9.07
2024-03-17,Metro,Bread,NA,10.29,9.99
2024-03-17,Metro,Eggs,NA,10.19,9.49
2024-03-17,Voila,Bread,NA,2.69,6.99
2024-03-17,Voila,Eggs,NA,1.79,9.49
2024-03-17,Walmart,Bread,NA,1.97,5.47
2024-03-17,Walmart,Eggs,NA,3.87,9.07
2024-03-18,Galleria,Bread,NA,2.99,8.85
2024-03-18,Galleria,Eggs,NA,0.99,9.99
2024-03-18,Galleria,Milk,NA,4.95,5.49
2024-03-18,Loblaws,Bread,NA,0.30,0.80
2024-03-18,Metro,Bread,NA,10.29,9.99
2024-03-18,Metro,Eggs,NA,10.19,9.49
2024-03-18,NoFrills,Bread,NA,0.30,1.72
2024-03-18,NoFrills,Eggs,NA,1.70,1.70
2024-03-18,TandT,Bread,NA,2.99,6.49
2024-03-18,TandT,Eggs,NA,10.33,9.45
2024-03-18,TandT,Milk,NA,3.49,7.99
2024-03-18,Voila,Bread,NA,2.69,6.99
2024-03-18,Voila,Eggs,NA,1.79,9.49
2024-03-18,Walmart,Bread,NA,1.97,5.47
2024-03-18,Walmart,Eggs,NA,3.87,9.07
2024-03-19,Galleria,Bread,NA,2.99,8.85
2024-03-19,Galleria,Eggs,NA,0.99,9.99
2024-03-19,Galleria,Milk,NA,4.95,5.49
2024-03-19,Loblaws,Bread,NA,0.70,0.80
2024-03-19,Metro,Bread,NA,10.29,9.99
2024-03-19,Metro,Eggs,NA,10.19,9.49
2024-03-19,NoFrills,Bread,NA,0.30,2.00
2024-03-19,NoFrills,Eggs,NA,1.70,1.70
2024-03-19,TandT,Bread,NA,2.99,6.69
2024-03-19,TandT,Eggs,NA,10.33,9.45
2024-03-19,TandT,Milk,NA,3.49,7.99
2024-03-19,Voila,Bread,NA,2.69,6.99
2024-03-19,Voila,Eggs,NA,1.79,9.49
2024-03-19,Walmart,Bread,NA,1.97,5.47
2024-03-19,Walmart,Eggs,NA,3.87,9.07
2024-03-20,Galleria,Bread,NA,2.99,8.85
2024-03-20,Galleria,Eggs,NA,0.99,9.99
2024-03-20,Galleria,Milk,NA,4.95,5.49
2024-03-20,Loblaws,Bread,NA,0.80,0.80
2024-03-20,Metro,Bread,NA,10.29,9.99
2024-03-20,Metro,Eggs,NA,10.19,9.49
2024-03-20,NoFrills,Bread,NA,0.30,2.00
2024-03-20,NoFrills,Eggs,NA,1.70,1.70
2024-03-20,TandT,Bread,NA,2.99,6.99
2024-03-20,TandT,Eggs,NA,10.33,9.45
2024-03-20,TandT,Milk,NA,3.49,7.99
2024-03-20,Voila,Bread,NA,2.69,6.99
2024-03-20,Voila,Eggs,NA,1.79,9.49
2024-03-20,Walmart,Bread,NA,1.97,5.47
2024-03-20,Walmart,Eggs,NA,3.87,9.07
2024-03-21,Galleria,Bread,NA,2.99,8.85
2024-03-21,Galleria,Eggs,NA,0.99,9.99
2024-03-21,Galleria,Milk,NA,4.95,5.49
2024-03-21,Loblaws,Bread,NA,0.30,0.49
2024-03-21,Loblaws,Eggs,NA,1.00,2.00
2024-03-21,Metro,Bread,NA,10.29,9.99
2024-03-21,Metro,Eggs,NA,10.19,9.49
2024-03-21,NoFrills,Bread,NA,0.30,2.02
2024-03-21,NoFrills,Eggs,NA,1.70,1.70
2024-03-21,TandT,Bread,NA,2.99,6.99
2024-03-21,TandT,Eggs,NA,10.33,9.45
2024-03-21,TandT,Milk,NA,3.49,7.99
2024-03-21,Voila,Bread,NA,2.69,6.99
2024-03-21,Voila,Eggs,NA,1.79,9.99
2024-03-21,Walmart,Bread,NA,1.97,5.47
2024-03-21,Walmart,Eggs,NA,3.87,9.07
2024-03-22,Galleria,Bread,NA,2.99,8.85
2024-03-22,Galleria,Eggs,NA,0.99,9.99
2024-03-22,Galleria,Milk,NA,4.95,5.49
2024-03-22,Loblaws,Bread,NA,0.30,2.50
2024-03-22,Loblaws,Eggs,NA,1.00,2.00
2024-03-22,Metro,Bread,NA,10.29,9.29
2024-03-22,Metro,Eggs,NA,10.19,9.49
2024-03-22,NoFrills,Bread,NA,0.30,2.02
2024-03-22,NoFrills,Eggs,NA,1.70,1.70
2024-03-22,TandT,Bread,NA,2.48,6.99
2024-03-22,TandT,Eggs,NA,10.33,9.23
2024-03-22,TandT,Milk,NA,3.49,7.99
2024-03-22,Voila,Bread,NA,2.69,6.99
2024-03-22,Voila,Eggs,NA,1.79,9.99
2024-03-22,Walmart,Bread,NA,1.97,5.47
2024-03-22,Walmart,Eggs,NA,3.87,9.07
2024-03-23,Galleria,Bread,NA,2.99,8.85
2024-03-23,Galleria,Eggs,NA,0.99,9.99
2024-03-23,Galleria,Milk,NA,4.95,5.49
2024-03-23,Loblaws,Bread,NA,0.30,2.50
2024-03-23,Loblaws,Eggs,NA,1.00,2.00
2024-03-23,Metro,Bread,NA,10.29,9.29
2024-03-23,Metro,Eggs,NA,10.19,9.89
2024-03-23,NoFrills,Bread,NA,0.30,2.02
2024-03-23,NoFrills,Eggs,NA,1.70,1.70
2024-03-23,TandT,Bread,NA,2.48,6.99
2024-03-23,TandT,Eggs,NA,10.33,9.23
2024-03-23,TandT,Milk,NA,3.49,7.99
2024-03-23,Voila,Bread,NA,2.69,6.99
2024-03-23,Voila,Eggs,NA,1.79,9.99
2024-03-23,Walmart,Bread,NA,1.97,5.47
2024-03-23,Walmart,Eggs,NA,3.87,9.07
2024-03-24,Galleria,Bread,NA,2.99,8.85
2024-03-24,Galleria,Eggs,NA,0.99,9.99
2024-03-24,Galleria,Milk,NA,4.95,5.49
2024-03-24,Loblaws,Bread,NA,0.49,0.49
2024-03-24,Loblaws,Eggs,NA,1.00,2.00
2024-03-24,Metro,Bread,NA,10.29,9.99
2024-03-24,Metro,Eggs,NA,10.19,9.49
2024-03-24,NoFrills,Bread,NA,0.30,2.02
2024-03-24,NoFrills,Eggs,NA,1.70,1.70
2024-03-24,TandT,Bread,NA,2.48,6.99
2024-03-24,TandT,Eggs,NA,10.55,9.45
2024-03-24,TandT,Milk,NA,3.49,7.99
2024-03-24,Voila,Bread,NA,2.69,6.99
2024-03-24,Voila,Eggs,NA,1.79,9.99
2024-03-24,Walmart,Bread,NA,1.97,5.47
2024-03-24,Walmart,Eggs,NA,3.87,9.07
2024-03-25,Galleria,Bread,NA,2.99,8.85
2024-03-25,Galleria,Eggs,NA,0.99,9.99
2024-03-25,Galleria,Milk,NA,4.95,5.49
2024-03-25,Loblaws,Bread,NA,0.49,1.60
2024-03-25,Loblaws,Eggs,NA,1.00,2.00
2024-03-25,Metro,Bread,NA,10.29,9.29
2024-03-25,Metro,Eggs,NA,5.29,5.29
2024-03-25,NoFrills,Bread,NA,0.30,2.02
2024-03-25,NoFrills,Eggs,NA,1.70,1.70
2024-03-25,TandT,Bread,NA,2.48,6.99
2024-03-25,TandT,Eggs,NA,10.55,9.45
2024-03-25,TandT,Milk,NA,3.49,7.99
2024-03-25,Voila,Bread,NA,2.69,6.99
2024-03-25,Walmart,Bread,NA,1.97,5.47
2024-03-25,Walmart,Eggs,NA,3.87,9.07
2024-03-26,Galleria,Bread,NA,2.99,8.85
2024-03-26,Galleria,Eggs,NA,0.99,9.99
2024-03-26,Galleria,Milk,NA,4.95,5.49
2024-03-26,Loblaws,Bread,NA,11.99,8.99
2024-03-26,Loblaws,Eggs,NA,10.13,9.52
2024-03-26,Loblaws,Milk,NA,6.49,8.49
2024-03-26,Metro,Bread,NA,10.29,9.99
2024-03-26,Metro,Eggs,NA,10.19,9.49
2024-03-26,NoFrills,Bread,NA,1.99,9.99
2024-03-26,NoFrills,Eggs,NA,2.94,9.52
2024-03-26,NoFrills,Milk,NA,3.89,3.89
2024-03-26,TandT,Bread,NA,2.48,6.99
2024-03-26,TandT,Eggs,NA,10.55,9.45
2024-03-26,TandT,Milk,NA,3.49,7.99
2024-03-26,Voila,Bread,NA,2.69,6.99
2024-03-26,Voila,Eggs,NA,1.79,9.99
2024-03-26,Walmart,Bread,NA,1.97,5.47
2024-03-26,Walmart,Eggs,NA,3.87,9.07
2024-03-27,Galleria,Bread,NA,2.99,8.85
2024-03-27,Galleria,Eggs,NA,0.99,9.99
2024-03-27,Galleria,Milk,NA,4.95,5.49
2024-03-27,Loblaws,Bread,NA,2.49,5.99
2024-03-27,Loblaws,Eggs,NA,10.13,9.52
2024-03-27,Loblaws,Milk,NA,8.49,8.49
2024-03-27,Metro,Bread,NA,10.29,8.99
2024-03-27,Metro,Eggs,NA,10.19,9.49
2024-03-27,NoFrills,Bread,NA,1.99,9.99
2024-03-27,NoFrills,Eggs,NA,2.94,9.52
2024-03-27,NoFrills,Milk,NA,3.89,3.89
2024-03-27,TandT,Bread,NA,2.48,6.99
2024-03-27,TandT,Eggs,NA,10.55,9.45
2024-03-27,TandT,Milk,NA,3.49,7.99
2024-03-27,Voila,Bread,NA,2.69,6.99
2024-03-27,Voila,Eggs,NA,1.79,9.99
2024-03-27,Walmart,Bread,NA,14.40,4.97
2024-03-27,Walmart,Eggs,NA,3.87,9.07
2024-03-28,Galleria,Bread,NA,2.99,8.85
2024-03-28,Galleria,Eggs,NA,0.99,9.99
2024-03-28,Galleria,Milk,NA,4.95,5.49
2024-03-28,Loblaws,Bread,NA,2.49,8.49
2024-03-28,Loblaws,Eggs,NA,10.13,9.52
2024-03-28,Loblaws,Milk,NA,8.49,8.49
2024-03-28,Metro,Bread,NA,10.29,8.99
2024-03-28,Metro,Eggs,NA,10.19,9.89
2024-03-28,NoFrills,Bread,NA,1.99,9.99
2024-03-28,NoFrills,Eggs,NA,2.94,9.52
2024-03-28,NoFrills,Milk,NA,3.89,3.89
2024-03-28,TandT,Bread,NA,2.48,6.99
2024-03-28,TandT,Eggs,NA,10.55,9.45
2024-03-28,TandT,Milk,NA,3.49,7.99
2024-03-28,Voila,Bread,NA,2.69,6.99
2024-03-28,Voila,Eggs,NA,1.79,9.99
2024-03-28,Walmart,Bread,NA,1.97,5.47
2024-03-28,Walmart,Eggs,NA,3.87,9.07
2024-03-29,Galleria,Bread,NA,2.99,8.85
2024-03-29,Galleria,Eggs,NA,0.99,9.99
2024-03-29,Galleria,Milk,NA,4.95,5.49
2024-03-29,Loblaws,Bread,NA,11.99,8.99
2024-03-29,Loblaws,Eggs,NA,10.13,9.52
2024-03-29,Loblaws,Milk,NA,6.49,6.49
2024-03-29,Metro,Bread,NA,10.29,9.99
2024-03-29,Metro,Eggs,NA,10.19,9.49
2024-03-29,NoFrills,Bread,NA,1.99,9.99
2024-03-29,NoFrills,Eggs,NA,2.94,9.52
2024-03-29,NoFrills,Milk,NA,3.89,3.89
2024-03-29,TandT,Bread,NA,2.99,6.99
2024-03-29,TandT,Eggs,NA,10.55,9.45
2024-03-29,TandT,Milk,NA,3.49,7.99
2024-03-29,Voila,Bread,NA,2.69,6.99
2024-03-29,Voila,Eggs,NA,1.79,9.99
2024-03-29,Walmart,Bread,NA,1.97,5.47
2024-03-29,Walmart,Eggs,NA,3.87,9.07
2024-03-30,Galleria,Bread,NA,2.99,8.85
2024-03-30,Galleria,Eggs,NA,0.99,9.99
2024-03-30,Galleria,Milk,NA,4.95,5.49
2024-03-30,Loblaws,Bread,NA,2.49,7.99
2024-03-30,Loblaws,Eggs,NA,10.13,9.52
2024-03-30,Metro,Bread,NA,10.29,9.29
2024-03-30,Metro,Eggs,NA,10.19,9.89
2024-03-30,Metro,Milk,NA,5.99,7.99
2024-03-30,NoFrills,Bread,NA,1.99,9.99
2024-03-30,NoFrills,Eggs,NA,2.94,9.52
2024-03-30,NoFrills,Milk,NA,3.89,3.89
2024-03-30,TandT,Bread,NA,2.99,6.99
2024-03-30,TandT,Eggs,NA,10.55,9.45
2024-03-30,TandT,Milk,NA,3.49,7.99
2024-03-30,Voila,Bread,NA,2.69,6.99
2024-03-30,Voila,Eggs,NA,1.79,9.99
2024-03-30,Walmart,Bread,NA,1.97,5.47
2024-03-30,Walmart,Eggs,NA,4.57,9.07
2024-03-31,Galleria,Bread,NA,2.99,8.85
2024-03-31,Galleria,Eggs,NA,0.99,9.99
2024-03-31,Galleria,Milk,NA,4.95,5.49
2024-03-31,Loblaws,Bread,NA,2.49,7.99
2024-03-31,Loblaws,Eggs,NA,10.13,9.52
2024-03-31,Loblaws,Milk,NA,8.49,8.49
2024-03-31,Metro,Bread,NA,10.29,9.29
2024-03-31,Metro,Eggs,NA,10.19,9.89
2024-03-31,NoFrills,Bread,NA,1.99,9.99
2024-03-31,NoFrills,Eggs,NA,2.94,9.52
2024-03-31,NoFrills,Milk,NA,3.89,3.89
2024-03-31,TandT,Bread,NA,2.99,6.99
2024-03-31,TandT,Eggs,NA,10.55,9.45
2024-03-31,TandT,Milk,NA,3.49,7.99
2024-03-31,Voila,Bread,NA,2.69,6.99
2024-03-31,Voila,Eggs,NA,1.79,9.99
2024-03-31,Walmart,Bread,NA,1.97,5.47
2024-03-31,Walmart,Eggs,NA,4.57,9.07
2024-04-01,Galleria,Bread,NA,2.99,8.85
2024-04-01,Galleria,Eggs,NA,0.99,9.99
2024-04-01,Galleria,Milk,NA,4.95,5.49
2024-04-01,Loblaws,Bread,NA,2.49,8.49
2024-04-01,Loblaws,Eggs,NA,10.13,9.52
2024-04-01,Loblaws,Milk,NA,8.49,8.49
2024-04-01,Metro,Bread,NA,10.29,9.99
2024-04-01,Metro,Eggs,NA,10.19,9.49
2024-04-01,NoFrills,Bread,NA,1.99,9.99
2024-04-01,NoFrills,Eggs,NA,2.94,9.52
2024-04-01,NoFrills,Milk,NA,3.89,3.89
2024-04-01,TandT,Bread,NA,2.99,6.99
2024-04-01,TandT,Eggs,NA,10.55,9.45
2024-04-01,TandT,Milk,NA,3.49,7.99
2024-04-01,Voila,Bread,NA,2.69,6.99
2024-04-01,Voila,Eggs,NA,1.79,9.99
2024-04-01,Walmart,Bread,NA,1.97,5.47
2024-04-01,Walmart,Eggs,NA,4.57,9.07
2024-04-02,Galleria,Bread,NA,2.99,8.85
2024-04-02,Galleria,Eggs,NA,0.99,9.99
2024-04-02,Galleria,Milk,NA,4.95,5.49
2024-04-02,Loblaws,Bread,NA,2.49,8.49
2024-04-02,Loblaws,Eggs,NA,10.13,9.52
2024-04-02,Metro,Bread,NA,10.29,9.99
2024-04-02,Metro,Eggs,NA,10.19,9.49
2024-04-02,Metro,Milk,NA,10.99,10.99
2024-04-02,NoFrills,Bread,NA,1.99,9.99
2024-04-02,NoFrills,Eggs,NA,2.94,9.52
2024-04-02,NoFrills,Milk,NA,3.89,3.89
2024-04-02,TandT,Bread,NA,2.99,6.99
2024-04-02,TandT,Eggs,NA,10.55,9.45
2024-04-02,TandT,Milk,NA,3.49,7.99
2024-04-02,Voila,Bread,NA,2.69,6.99
2024-04-02,Voila,Eggs,NA,1.79,9.99
2024-04-02,Walmart,Bread,NA,1.97,5.47
2024-04-02,Walmart,Eggs,NA,3.87,9.07
2024-04-03,Galleria,Bread,NA,2.99,8.85
2024-04-03,Galleria,Eggs,NA,0.99,9.99
2024-04-03,Galleria,Milk,NA,4.95,5.49
2024-04-03,Loblaws,Bread,NA,11.99,8.99
2024-04-03,Loblaws,Eggs,NA,10.13,9.52
2024-04-03,Loblaws,Milk,NA,6.49,6.49
2024-04-03,Metro,Bread,NA,10.29,9.99
2024-04-03,Metro,Eggs,NA,10.19,9.49
2024-04-03,Metro,Milk,NA,10.99,10.99
2024-04-03,NoFrills,Bread,NA,1.99,9.99
2024-04-03,NoFrills,Eggs,NA,2.94,9.52
2024-04-03,NoFrills,Milk,NA,3.89,3.89
2024-04-03,TandT,Bread,NA,2.99,6.99
2024-04-03,TandT,Eggs,NA,10.55,9.23
2024-04-03,TandT,Milk,NA,3.49,7.99
2024-04-03,Voila,Bread,NA,2.69,6.99
2024-04-03,Voila,Eggs,NA,1.79,9.99
2024-04-03,Walmart,Bread,NA,1.97,5.47
2024-04-03,Walmart,Eggs,NA,3.87,9.37
2024-04-04,Galleria,Bread,NA,2.99,8.85
